RESISTANCE,Family
Streptomycin,Aminoglycosides
Gentamicin,Aminoglycosides
Tobramycin,Aminoglycosides
Sulfamethoxazole,Antifolates
Trimethoprim,Antifolates
Cefepime,Cephalosporin
Cefotaxime,Cephalosporin
Ceftazidime,Cephalosporin
Ceftriaxone,Cephalosporin
Cephalothin,Cephalosporin
Ciprofloxacin,Fluoroquinolones
Telithromycin,Ketolides
Azithromycin,Macrolides
Erythromycin,Macrolides
Spiramycin,Macrolides
Aztreonam,Monobactam
Fosfomycin,Other
Amoxicillin,Penicillin
Ampicillin,Penicillin
Piperacillin,Penicillin
Ticarcillin,Penicillin
Amoxicillin+Clavulanic_acid,Penicillin
Ampicillin+Clavulanic_acid,Penicillin
Piperacillin+Tazobactam,Penicillin
Chloramphenicol,Phenicols
Florfenicol,Phenicols
Nalidixic_acid,Quinolones
Doxycycline,Tetracycline
Minocycline,Tetracycline
Tetracycline,Tetracycline
XXX,XXX
